Date,Not indexed,Indexed,Impressions
2026-03-23,,,4
2026-03-24,3,2,58
2026-03-25,4,2,39
2026-03-26,4,2,33
2026-03-27,4,2,32
2026-03-28,4,2,22
2026-03-29,4,2,12
2026-03-30,4,2,80
2026-03-31,4,2,35
2026-04-01,4,2,44
2026-04-02,4,2,36
2026-04-03,4,2,50
2026-04-04,4,2,25
2026-04-05,4,2,28
2026-04-06,4,2,58
2026-04-07,4,2,67
2026-04-08,4,2,56
2026-04-09,4,2,60
2026-04-10,4,2,65
2026-04-11,4,2,32
2026-04-12,4,2,18
2026-04-13,4,2,101
2026-04-14,4,2,47
2026-04-15,4,2,42
2026-04-16,4,2,32
2026-04-17,4,2,30
2026-04-18,4,2,20
2026-04-19,4,2,15
2026-04-20,4,2,103
2026-04-21,4,2,65
2026-04-22,4,2,28
2026-04-23,4,2,42
2026-04-24,4,2,35
2026-04-25,4,2,87
2026-04-26,4,2,31
2026-04-27,4,2,119